ASN,Name
17514,"AICS Otsuka Corp."
17589,
17625,"BLAZENET-IN-AP BlazeNets Network"
17669,"AC3-AS-AP ac3"
17694,
17732,"AC3-AS-AP ac3"
17819,
17833,
17881,"INETHOSTING-AS-KR Inet Hosting"
17918,"AC3-AS-AP ac3"
17934,"JGNV6 National Institute of Information and Communications Technology"
17941,"BIT-ISLE Equinix Japan Enterprise K.K."
17950,
17971,
17988,"CSC-HK-AS-AP China Satellite Communications HongKong Corporation Limited"
18013,
18059,
18120,"GEMINI-AS-IN Gemini Software Solutions P Ltd. Hosting Services"
18206,
18229,
18254,"KLAY-AS-AP KLAYER LLC"
18281,
18289,
18362,"NETWAY-AS-AP Netway Communication Co."
18368,"APNIC-ANYCAST APNIC ANYCAST ASN"
18405,
18434,FNIS
18450,WEBNX
18501,
18530,
18570,
18586,
18590,CHINETWORKS
18635,SECUREHOST
18650,
18672,
18717,AKAMAI-AS
18779,EGIHOSTING
18978,ENZUINC-
19024,INTERNAP-BLK5
19084,COLOUP
19133,
19148,LEASEWEB-USA-PHX
19151,BBO-1
19186,
19194,JOVITA
19222,
19234,PIVOTREE-AS
19237,
19246,ACT2000
19257,SUBRIGO
19281,QUAD9-AS-1
19318,
19324,
19373,"Triara.com S.A. de C.V."
19383,WEBEL-1
19385,617A-AS-2
19437,
19528,
19531,NODESDIRECT
19538,
19551,INCAPSULA
19620,HOSTARIS-AS
19624,SERVERROOM
19691,
19693,CENTRILOGIC-ASN
19832,FTB
19842,
19844,SBA-EDGE-JAX
19871,NETWORK-SOLUTIONS-HOSTING
19874,DATABANK-CASTLEACCESS
19905,
19969,
19994,RACKSPACE
19996,
20021,LNH-INC
20068,HAWKHOST
20093,ZEROLAG
20150,
20189,
20248,
20264,WEBAIR-INTERNET-2
20278,
20284,
20360,
20401,
20448,
20450,THL16-ASN
20454,
20460,
20473,AS-VULTR
20546,
20552,
20559,"FUNDAMENTS-AS - Fundaments B.V."
20562,
20598,CYBERSPACE-AS
20616,
20647,"IPB - IPB Internet Provider in Berlin GmbH"
20648,
20649,
20692,
20694,"NMMN-AS - NMMN New Media Markets &amp; Networks IT-Services GmbH"
20738,
20773,
20803,
20824,
20836,
20847,"PREVIDER-AS - Previder B.V."
20857,
20860,
20916,
20926,"PULSATION-AS - CELESTE SAS"
20940,"AKAMAI-ASN1 - Akamai International B.V."
21051,
21069,
21100,
21155,
21159,"NOVOSERVE-GMBH-AS - NovoServe B.V."
21174,
21217,"SAFEHOSTNET - STACK Infrastructure Switzerland SA"
21260,
21288,"SPRINTNET - &quot;SPRINT&quot; S.A."
21321,
21342,
21350,
21396,
21409,
21472,
21499,
21501,
21503,
21554,CYBERLYNK
21581,
21624,
21679,SERVERSIDE-01
21777,
21844,
21859,ZEN-ECN
21887,FIBER-LOGIC
21980,
22030,ZIPCON-AS-1
22132,
22152,
22169,OMNIS-ANYCAST-1
22211,INTERNAP-FCP
22264,CONTE-25-BLA
22275,
22302,
22363,PHMGMT-AS1
22384,
22407,"Acesso a Internet Rapido Ltda."
22437,
22458,
22468,HOST-1UP
22489,
22552,
22571,
22606,EXACT-7
22611,
22612,NAMECHEAP-NET
22616,ZSCALER-SJC1
22653,GLOBALCOMPASS
22658,EARTHNET
22676,
22720,RACKSPACE-A
22769,
22781,STRTEC
22822,
22878,ASACENET1
22900,
22903,
22915,
23033,
23052,IHOST-SOLUTIONS-1
23108,
23273,
23295,
23338,ASN-DCS-01
23342,UNITEDLAYER
23352,
23354,ECHOSTAR-CO
23359,WLNYASN
23454,AKAMAI-AS
23470,RELIABLESITE
23522,ASN-HRNET
23535,HOSTROCKET
23596,"EDNSKR-KR Korea Internet Security Agency"
23600,
23633,"LOCAL-IX Niigata Communication Service"
23635,
23637,"BI-CDN-IX Equinix Japan Enterprise K.K."
23650,
23652,
23660,"CCTLD-PH-AS PH CCTLD"
23661,
23734,
23747,"IIHPL-AS-AP Intelligent IP Hosting Pty Ltd"
23794,"BMCDN Broadmedia Corporation"
23824,"FUTURE Future Spirits Co."
23858,"XTOM-AS-AU xTom"
23864,
23881,
23884,
24000,"LIHGL-AS-AP 24.hk global BGP"
24021,
24085,
24192,"SOLARIX-INTERNET-AS-AP Solarix Networks Limited"
24195,
24220,
24270,"CRC-KCC CRC Solutions Corp."
24282,
24319,
24322,
24381,
24429,"TAOBAO Zhejiang Taobao Network Co."
24446,"INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD"
24459,"RIMUHOSTING-AS-AP RIMU HOSTING LIMITED"
24466,
24482,"SGGS-AS-AP SG.GS"
24541,
24549,"LAYER-AS-AP Layerstack Limited"
24558,
24611,"DCLUX-AS - Datacenter Luxembourg S.A."
24642,
24679,"SSERV-AS - kyberio GmbH"
24700,"PARITETWEB-AS - WEB3 Leaders INC"
24723,
24724,
24725,"ASN-HM - LLC &quot;Hostmaster&quot;"
24748,
24768,"ALMOUROLTEC - ALMOUROLTEC SERVICOS DE INFORMATICA E INTERNET LDA"
24785,
24806,"INTERNET-CZ - INTERNET CZ, a.s."
24851,"UK-NETCETERA - Netcetera Ltd."
24875,"NOVOSERVE-AS - NovoServe B.V."
24898,"IPX-AS24898 - NorthC Deutschland GmbH"
24931,
24935,
24936,"RIM2000M-AS - Plusinfo OOO"
24940,"HETZNER-AS - Hetzner Online GmbH"
24958,
24961,
24971,"MASTER-AS - Master Internet s.r.o."
24973,
24989,"EQUINIX-CONNECT-GERMANY - Equinix (Germany) GmbH"
24994,
24997,
25048,
25063,"SWERK-AUSTRIA - S.WERK GMBH"
25108,"IOMART-APAC-AS - IOMART MANAGED SERVICES LIMITED"
25116,
25128,
25151,
25163,
25188,
25193,
25234,
25260,"QUALITYHOSTING-AS - QualityHosting AG"
25264,"AADP - Afagh Andish Dadeh Pardis Co. Ltd"
25277,
25291,"INTERDOTLINK-SYSELEVEN - SysEleven GmbH"
25369,
25379,
25444,"NAFHQLV-AS - Headquarters of National Armed Forces Republic of Latvia"
25459,"NEDZONE-AS - Eurofiber Cloud Infra B.V."
25491,"ASBASIC - Basic ISP s.a.r.l."
25504,"CRONON-AS - Vautron Rechenzentrum AG"
25516,
25532,
25542,
25577,
25593,"LINKBYNET-AS - Accenture SAS"
25605,SCANSAFE
25634,
25642,
25653,
25693,VIRMACH
25697,UPCLOUDUSA
25780,HUGESERVER-NETWORKS
25820,
25832,"Cia. de Processamento de Dados do Estado da Bahia"
25864,ZAYO-CLOUD-TOR01
25926,
25991,BENDIXCVS
26008,AKAMAI-NOMINUM-ASN
26135,
26277,SERVERPOINT
26337,OIS1
