ASN,Name
12608,"DDOSPROTECT-AS - NTX Technologies s.r.o."
12616,"HOSTING-MSK - Filanco LLC"
12617,"SOLIDO-NET - Sentia Denmark A/S"
12637,"SEEWEB - SEEWEB s.r.l."
12695,"DINET-AS - LLC Digital Network"
12703,"PULSANT-AS - Pulsant (Scotland) Ltd"
12722,"RECONN - RECONN LLC"
12816,"MWN-AS - Leibniz-Rechenzentrum"
12824,"HOMEPL-AS - home.pl S.A."
12859,"NL-BIT - BIT BV"
12876,"AS12876 - ONLINE S.A.S."
12989,"HWNG - StackPath LLC"
12993,"DEAC-AS - SIA Digitalas Ekonomikas Attistibas Centrs"
12996,"DOMENESHOP - Domeneshop AS"
13008,"BETANDWIN-AS - bwin.party services (Austria) GmbH"
13030,"INIT7 - Init7 (Switzerland) Ltd."
13182,"ASN-ADHOC-NETWORK - Made Network Srl"
13209,"ATOM-HOSTING - Atom Hosting SRL"
13213,"UK2NET-AS - UK-2 Limited"
13238,"YANDEX - YANDEX LLC"
13287,"NIXVALIP-AS - FALBOX S.L."
13335,"CLOUDFLARENET - Cloudflare, Inc."
13345,"MASSIVE-NETWORKS-2 - Massive Networks"
13354,"ZC38-AS1 - zColo"
13357,"Irati Telecomunicações Ltda."
13414,"TWITTER - Twitter Inc."
13416,"R-GREENBERG-ASSOC - R/Greenberg Associates"
13438,"VIVIO-TECHNOLOGIES - Vivio Technologies"
13645,"BROADBANDONE - BroadbandONE, Inc."
13647,"NETACTUATE - NetActuate, Inc"
13649,"ASN-VINS - Flexential Colorado Corp."
13739,"DATACENTER-IP - Datacenter IP, LLC"
13767,"DATABANK-DFW - DataBank Holdings, Ltd."
13768,"COGECO-PEER1 - Aptum Technologies"
13790,"INTERNAP-BLK3 - Internap Corporation"
13791,"INTERNAP-BLK3 - Internap Corporation"
13820,"VACARES - Vacares LLC"
13830,"NEXRIL - Nexril"
13845,"VINS-AS - Flexential Colorado Corp."
13884,"ASN-THEPLANET - SoftLayer Technologies Inc."
13886,"CLOUD-SOUTH - Cloud South"
13909,"TECHIEMEDIA - Techie Hosting, Inc."
13911,"TERA-BYTE - Tera-byte Dot Com Inc."
13926,"NETPROTECT-PHX - Strong Technology, LLC."
13951,"DATABANK-SLC - C7 Data Centers, Inc."
13955,"ECHO-UPLINKDATA-COM - Echostar Broadcasting Corporation"
14010,"JACKHENRY - Jack Henry &amp; Associates, Inc."
14026,"Núcleo de Inf. e Coord. do Ponto BR - NIC.BR"
14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC"
14116,"INFB-AS - InternetNamesForBusiness.com"
14120,"ITHS-NY4-BLK-001 - oneZero Financial Systems, LLC"
14127,"ILAND - Iland Internet Solutions Corporation"
14144,"ADMIN-ON-DEMAND-LLC - Admin on Demand, LLC"
14160,"PREMIUMTELECOM - Premium Hosting, Inc."
14176,"WEBHOSTCANADA - Rhoann Enterprises Ltd."
14244,"NSIHOSTING-EQX-VA - NSI Hosting"
14280,"NETNATION - NetNation Communications Inc"
14313,"CMCMGMT01 - zColo"
14330,"DIGITAL-INSIGHT - Digital Insight Corporation"
14340,"SALESFORCE - Salesforce.com, Inc."
14361,"HOPONE-GLOBAL - HopOne Internet Corporation"
14384,"HOSTDESIGNS - HOST DESIGNS, LLC"
14397,"AS-DNS - 1st Class Hosting, LLC"
14415,"HOSTCOLLECTIVE - Host Collective, Inc."
14441,"NETWORK-SOLUTIONS-14441 - Network Solutions, LLC"
14442,"MEDIA-HOSTS - Media-Hosts Inc."
14519,"APPLIEDI - Applied Innovations Corporation"
14537,"CL-1379-14537 - Continent 8 LLC"
14567,"SPRINGS - Springs Hosting"
14576,"HOSTING-SOLUTIONS - Hosting Solution Ltd."
14586,"NUCLEARFALLOUT-CHI - Nuclearfallout Enterprises, Inc."
14618,"AMAZON-AES - Amazon.com, Inc."
14708,"WebHost Chile S.A."
14713,"HBL-35-14713 - Hosted Backbone"
14743,"INTERNAP-BLOCK-4 - Internap Corporation"
14744,"INTERNAP-BLOCK-4 - Internap Corporation"
14901,"TAOSNET-NEWMEX - TAOS NET LLC"
14935,"MONTICELLO - Monticello Networks, Inc."
14986,"ULTRAHOST - Ultra Hosting"
